实时定位,设备号,方向,ID,定位时间,实时地址,速度,
119.681892，29.795937,868035047198357,317,5f366ef55bd7ea20e07b14d6,1597229939,浙**************号,11,
119.681816，29.796041,868035047198357,343,5f366ef55bd7ea20e07b14d7,1597229943,浙**************号,13,
119.681793，29.796104,868035047198357,355,5f366ef65bd7ea20e07b14d8,1597229945,浙**************号,13,
119.681816，29.796171,868035047198357,15,5f366ef65bd7ea20e07b14d9,1597229947,浙**************号,17,
119.687569，29.794315,868035047202107,128,5f366ef65bd7ea20e07b14da,1597229948,浙***************号,28,
119.681816，29.796173,868035047198357,15,5f366ef65bd7ea20e07b14db,1597229948,浙**************号,0,
119.68187，29.796261,868035047198357,29,5f366ef65bd7ea20e07b14dc,1597229949,浙**************号,20,
119.687569，29.794317,868035047202107,128,5f366ef75bd7ea20e07b14dd,1597229958,浙***************号,0,
119.681992，29.79644,868035047198357,34,5f366ef75bd7ea20e07b14de,1597229953,浙*************7,19,
119.681992，29.79644,868035047198357,34,5f366ef85bd7ea20e07b14df,1597229970,浙*************7,0,
119.682533，29.797115,868035047198357,41,5f366ef85bd7ea20e07b14e0,1597229975,浙**************号,13,
119.682533，29.797117,868035047198357,41,5f366ef95bd7ea20e07b14e1,1597229992,浙**************号,0,
119.68708，29.792992,868035047202107,57,5f366efa5bd7ea20e07b14e2,1597230002,浙***************3,26,
119.687088，29.792994,868035047202107,57,5f366efa5bd7ea20e07b14e3,1597230002,浙***************3,0,
119.687752，29.793266,868035047202107,123,5f366efa5bd7ea20e07b14e4,1597230018,浙***************3,0,
119.682533，29.797117,868035047198357,41,5f366f235bd7ea20d5427552,1597230064,浙**************号,0,
119.702805，29.812,868035047227576,249,5f3677535bd7ea27bd406d02,1597227581,浙**************8,30,
119.652367，29.760244,866551032797198,282,5f3677d05bd7ea27b43a9ba2,1597227098,浙****************),20,
119.66581，29.803888,868035047202079,0,5f3678e45bd7ea2d3b0066c2,1597229557,浙*************7,0,
119.66581，29.803888,868035047202079,0,5f3679275bd7ea2d441f04b2,1597229557,浙*************7,0,
119.652367，29.760244,866551032797198,282,5f3679445bd7ea2d361f3042,1597227098,浙****************),20,
119.66581，29.803888,868035047202079,0,5f3682315bd7ea39c16020f2,1597229557,浙*************7,0,
119.66581，29.803888,868035047202079,0,5f3686ab5bd7ea3fb237b372,1597229557,浙*************7,0,
119.702805，29.812,868035047227576,249,5f368a265bd7ea3fb237b373,1597227581,浙**************8,30,
119.667809，29.800894,868035047006665,286,5f3690045bd7ea4ba5008b02,1597228504,浙*************1,17,
119.652367，29.760244,866551032797198,282,5f3693b45bd7ea4ba62b76e2,1597227098,浙****************),20,
119.652367，29.760244,866551032797198,282,5f3699a05bd7ea5791748872,1597227098,浙****************),20,
119.66581，29.803888,868035047202079,0,5f369dfa5bd7ea5d7777f052,1597229557,浙*************7,0,
119.702805，29.812,868035047227576,249,5f36a2c05bd7ea634c4808e2,1597227581,浙**************8,30,
119.682533，29.797117,868035047198357,41,5f36a6355bd7ea634f69f412,1597230064,浙**************号,0,
119.66581，29.803888,868035047202079,0,5f36a77f5bd7ea69103cfdb2,1597229557,浙*************7,0,
119.652237，29.760258,866551032797198,275,5f36a7a25bd7ea690578e312,1597227100,浙****************),24,
119.710991，29.787823,866551032797602,164,5f36aa785bd7ea691d6c85d2,1597228251,浙**********路,14,
119.652237，29.760258,866551032797198,275,5f36aad85bd7ea69076908d2,1597227100,浙****************),24,
119.66581，29.803888,868035047202079,0,5f36b0305bd7ea6e9f50dbc2,1597229557,浙*************7,0,
119.682533，29.797117,868035047198357,41,5f36b0ce5bd7ea73820a7292,1597230064,浙**************号,0,
119.667809，29.800894,868035047006665,286,5f36b9d85bd7ea7df1216e92,1597228506,浙*************1,0,
119.667625，29.800913,868035047006665,263,5f36b9d85bd7ea7df1216e93,1597228508,浙*************1,11,
119.675011，29.792688,868035047227685,291,5f36b9d95bd7ea7df1216e94,1597228510,浙**************2,18,
119.683212，29.781914,868035047202075,323,5f36b9d95bd7ea7df1216e95,1597228510,浙*************5,36,
119.675011，29.792688,868035047227685,291,5f36b9d95bd7ea7df1216e96,1597228512,浙**************2,0,
119.683212，29.781916,868035047202075,323,5f36b9d95bd7ea7df1216e97,1597228510,浙*************5,0,
119.683075，29.782051,868035047202075,318,5f36b9d95bd7ea7df1216e98,1597228512,浙*************5,34,
119.674858，29.792784,868035047227685,317,5f36b9da5bd7ea7df1216e99,1597228514,浙**************2,15,
119.682831，29.782324,868035047202075,325,5f36b9da5bd7ea7df1216e9a,1597228516,浙**************号,34,
119.676323，29.791813,868035047202305,134,5f36b9da5bd7ea7df1216e9b,1597228516,浙*************6,0,
119.67482，29.792856,868035047227685,233,5f36b9da5bd7ea7df1216e9c,1597228520,浙***************号,11,
119.682579，29.782602,868035047202075,318,5f36b9da5bd7ea7df1216e9d,1597228520,浙**************号,34,
119.671677，29.808142,868035047199605,0,5f36b9db5bd7ea7df1216e9e,1597228523,浙*************号,0,
119.674736，29.810778,868035047226805,0,5f36b9db5bd7ea7df1216e9f,1597228524,浙*************号,0,
119.682335，29.782854,868035047202075,324,5f36b9db5bd7ea7df1216ea0,1597228524,浙**************号,33,
119.673103，29.807894,868035047226805,0,5f36b9db5bd7ea7df1216ea1,1597228527,浙**************号,0,
119.674553，29.792957,868035047227685,311,5f36b9db5bd7ea7df1216ea2,1597228528,浙**************2,13,
119.673058，29.80784,868035047226805,216,5f36b9dc5bd7ea7df1216ea3,1597228529,浙**************号,14,
119.682755，29.797964,868035047227575,0,5f36b9dc5bd7ea7df1216ea4,1597228529,浙***************号,0,
119.674416，29.79302,868035047227685,319,5f36b9dc5bd7ea7df1216ea5,1597228530,浙**************2,16,
119.671623，29.808262,868035047199605,292,5f36b9dd5bd7ea7df1216ea6,1597228531,浙*************号,6,
119.676323，29.791813,868035047202305,134,5f36b9dd5bd7ea7df1216ea7,1597228530,浙*************6,0,
119.681938，29.783262,868035047202075,316,5f36b9dd5bd7ea7df1216ea8,1597228530,浙**************号,34,
119.674248，29.793175,868035047227685,308,5f36b9dd5bd7ea7df1216ea9,1597228534,浙**************2,14,
119.672951，29.80773,868035047226805,190,5f36b9dd5bd7ea7df1216eaa,1597228533,浙**************号,13,
119.682854，29.797924,868035047227575,133,5f36b9de5bd7ea7df1216eab,1597228533,浙***************号,12,
119.672935，29.807644,868035047226805,171,5f36b9de5bd7ea7df1216eac,1597228535,浙************8,15,
119.674248，29.793175,868035047227685,308,5f36b9de5bd7ea7df1216ead,1597228535,浙**************2,0,
119.667625，29.800915,868035047006665,263,5f36b9de5bd7ea7df1216eae,1597228536,浙*************1,0,
119.674065，29.793249,868035047227685,294,5f36b9df5bd7ea7df1216eaf,1597228538,浙************5,12,
119.672981，29.807581,868035047226805,151,5f36b9df5bd7ea7df1216eb0,1597228537,浙*************号,14,
119.676323，29.791813,868035047202305,134,5f36b9df5bd7ea7df1216eb1,1597228538,浙*************6,0,
119.673973，29.793245,868035047227685,268,5f36b9df5bd7ea7df1216eb2,1597228540,浙************5,9,
119.681938，29.783262,868035047202075,316,5f36b9df5bd7ea7df1216eb3,1597228531,浙**************号,0,
119.681808，29.783392,868035047202075,323,5f36b9e05bd7ea7df1216eb4,1597228532,浙**************号,32,
119.681686，29.783522,868035047202075,316,5f36b9e05bd7ea7df1216eb5,1597228534,浙**************号,34,
119.671356，29.80835,868035047199605,304,5f36b9e05bd7ea7df1216eb6,1597228541,浙*************号,7,
119.673859，29.793232,868035047227685,243,5f36b9e05bd7ea7df1216eb7,1597228542,浙************5,15,
119.671257，29.808355,868035047199605,290,5f36b9e05bd7ea7df1216eb8,1597228543,浙*************号,10,
119.673782，29.793207,868035047227685,235,5f36b9e15bd7ea7df1216eb9,1597228544,浙************5,16,
119.671257，29.808355,868035047199605,290,5f36b9e15bd7ea7df1216eba,1597228544,浙*************号,0,
119.671211，29.808437,868035047199605,324,5f36b9e15bd7ea7df1216ebb,1597228545,浙*************号,14,
119.672981，29.807581,868035047226805,151,5f36b9e15bd7ea7df1216ebc,1597228547,浙*************号,0,
119.673721，29.793154,868035047227685,221,5f36b9e25bd7ea7df1216ebd,1597228546,浙************5,19,
119.671104，29.808529,868035047199605,302,5f36b9e25bd7ea7df1216ebe,1597228549,浙*************号,10,
119.683594，29.797308,868035047227575,132,5f36b9e25bd7ea7df1216ebf,1597228545,浙***************号,34,
119.676826，29.788422,868035047202305,145,5f36b9e25bd7ea7df1216ec0,1597228550,浙**************号,36,
119.683594，29.797308,868035047227575,132,5f36b9e35bd7ea7df1216ec1,1597228550,浙***************号,0,
119.684258，29.796782,868035047227575,130,5f36b9e45bd7ea7df1216ec2,1597228555,浙***************号,32,
119.669914，29.802801,868035047202295,25,5f36b9e45bd7ea7df1216ec3,1597228557,浙**************号,28,
119.677086，29.788137,868035047202305,139,5f36b9e45bd7ea7df1216ec4,1597228554,浙**************号,35,
119.667435，29.801044,868035047006665,0,5f36b9e55bd7ea7df1216ec5,1597228560,浙**************号,0,
119.677086，29.788141,868035047202305,139,5f36b9e55bd7ea7df1216ec6,1597228559,浙**************号,0,
119.681541，29.783657,868035047202075,321,5f36b9e55bd7ea7df1216ec7,1597228536,浙**************号,35,
119.671181，29.808863,868035047199605,0,5f36b9e65bd7ea7df1216ec8,1597228563,浙*************号,0,
119.680923，29.784334,868035047202075,322,5f36b9e65bd7ea7df1216ec9,1597228546,浙************号,33,
119.680794，29.784454,868035047202075,316,5f36b9e65bd7ea7df1216eca,1597228548,浙************号,33,
119.680794，29.784454,868035047202075,316,5f36b9e65bd7ea7df1216ecb,1597228553,浙************号,0,
119.680412，29.784847,868035047202075,326,5f36b9e75bd7ea7df1216ecc,1597228554,浙**************号,32,
119.68029，29.784979,868035047202075,315,5f36b9e75bd7ea7df1216ecd,1597228556,浙**************号,33,
119.680008，29.785246,868035047202075,320,5f36b9e75bd7ea7df1216ece,1597228560,浙*************7,37,
119.670296，29.80337,868035047202295,28,5f36b9e75bd7ea7df1216ecf,1597228565,浙**************号,29,
119.677704，29.7875,868035047202305,141,5f36b9e75bd7ea7df1216ed0,1597228564,浙**************号,33,
119.671181，29.808863,868035047199605,0,5f36b9e85bd7ea7df1216ed1,1597228566,浙*************号,0,
119.670357，29.803507,868035047202295,23,5f36b9e85bd7ea7df1216ed2,1597228567,浙*************4,28,
119.679375，29.785883,868035047202075,311,5f36b9e85bd7ea7df1216ed3,1597228570,浙*************5,19,
119.679314，29.785952,868035047202075,321,5f36b9e85bd7ea7df1216ed4,1597228572,浙****************号,12,
119.673355，29.793211,868035047227685,354,5f36b9e95bd7ea7df1216ed5,1597228560,浙************5,8,
119.678299，29.78684,868035047202305,139,5f36b9e95bd7ea7df1216ed6,1597228574,浙************路,34,
119.685028，29.7962,868035047227575,135,5f36b9e95bd7ea7df1216ed7,1597228569,浙***************号,24,
119.679314，29.785952,868035047202075,321,5f36b9ea5bd7ea7df1216ed8,1597228575,浙****************号,0,
119.685028，29.7962,868035047227575,135,5f36b9ea5bd7ea7df1216ed9,1597228571,浙***************号,0,
119.679214，29.786051,868035047202075,316,5f36b9ea5bd7ea7df1216eda,1597228576,浙****************号,22,
119.670357，29.803507,868035047202295,23,5f36b9ea5bd7ea7df1216edb,1597228577,浙*************4,0,
119.679153，29.786167,868035047202075,325,5f36b9eb5bd7ea7df1216edc,1597228578,浙****************号,26,
119.670822，29.804401,868035047202295,26,5f36b9eb5bd7ea7df1216edd,1597228579,浙**************号,30,
119.679039，29.786285,868035047202075,319,5f36b9eb5bd7ea7df1216ede,1597228580,浙****************号,31,
119.678299，29.78684,868035047202305,139,5f36b9eb5bd7ea7df1216edf,1597228580,浙************路,0,
119.670868，29.804567,868035047202295,15,5f36b9eb5bd7ea7df1216ee0,1597228581,浙*************6,31,
119.670876，29.804741,868035047202295,7,5f36b9ec5bd7ea7df1216ee1,1597228583,浙**************号,31,
119.68557，29.795752,868035047227575,125,5f36b9ec5bd7ea7df1216ee2,1597228581,浙***************号,19,
119.66581，29.803888,868035047202079,0,5f36ba865bd7ea7dfc0fcc42,1597229557,浙*************7,0,
119.682533，29.797117,868035047198357,41,5f36beed5bd7ea05967a0082,1597230064,浙**************号,0,
119.671158，29.784691,868035047199589,277,5f36c38a5bd7ea0aa42b7df2,1597229558,浙**********路,24,
119.671158，29.784691,868035047199589,277,5f36c3a95bd7ea0aa64a7922,1597229558,浙**********路,24,
119.671158，29.784691,868035047199589,277,5f36c5395bd7ea0aa76aaac2,1597229558,浙**********路,24,
119.692261，29.804474,868035047008068,217,5f36c8295bd7ea1035580d62,1597227148,浙**************号,18,
119.671158，29.784691,868035047199589,277,5f36cad15bd7ea1037613d52,1597229558,浙**********路,24,
119.692261，29.804474,868035047008068,217,5f36cc1e5bd7ea102b18fe42,1597227148,浙**************号,18,
119.682533，29.797117,868035047198357,41,5f36ccb55bd7ea15fe39bd22,1597230064,浙**************号,0,
119.692261，29.804474,868035047008068,217,5f36ccf15bd7ea15fd5f6462,1597227148,浙**************号,18,
119.692261，29.804474,868035047008068,217,5f36d22f5bd7ea1bac502412,1597227148,浙**************号,18,
119.692261，29.804474,868035047008068,217,5f36d5495bd7ea1ba1246e92,1597227148,浙**************号,18,
119.682533，29.797117,868035047198357,41,5f36d6605bd7ea21463a0bc2,1597230064,浙**************号,0,
119.702805，29.812,868035047227576,249,5f36d9575bd7ea216115ded2,1597227581,浙**************8,30,
119.702805，29.812,868035047227576,249,5f36dc4f5bd7ea26d1669642,1597227581,浙**************8,30,
119.682533，29.797117,868035047198357,41,5f36e8af5bd7ea37075116d2,1597230064,浙**************号,0,
119.692261，29.804474,868035047008068,217,5f36e8f35bd7ea36f838d372,1597227148,浙**************号,18,
119.692261，29.804474,868035047008068,217,5f36f5685bd7ea40db41c952,1597227148,浙**************号,18,
119.692261，29.804474,868035047008068,217,5f36fcab5bd7ea4ad17484d2,1597227148,浙**************号,18,
119.692261，29.804474,868035047008068,217,5f36ff095bd7ea4acf6e37f2,1597227148,浙**************号,18,
119.671158，29.784693,868035047199589,277,5f36ffe45bd7ea4ae3476642,1597229559,浙**********路,0,
119.682533，29.797117,868035047198357,41,5f37007e5bd7ea4fbf1d2092,1597230064,浙**************号,0,
119.671158，29.784693,868035047199589,277,5f3704205bd7ea4fa37d3f22,1597229559,浙**********路,0,
119.702805，29.812,868035047227576,249,5f3704d55bd7ea54971aaf42,1597227581,浙**************8,30,
119.689201，29.79508,868035047226074,200,5f3704d75bd7ea548302d1b2,1597228089,浙**************号,0,
119.692261，29.804474,868035047008068,217,5f3709395bd7ea54971aaf43,1597227148,浙**************号,18,
119.692261，29.804474,868035047008068,217,5f370b945bd7ea59792ae352,1597227148,浙**************号,18,
119.671158，29.784693,868035047199589,277,5f3713225bd7ea64671d4142,1597229559,浙**********路,0,
119.671158，29.784693,868035047199589,277,5f3718405bd7ea69b8455a62,1597229559,浙**********路,0,
119.702805，29.812,868035047227576,249,5f371b7b5bd7ea69c41a37b2,1597227581,浙**************8,30,
119.671158，29.784693,868035047199589,277,5f3721485bd7ea74b65d8c42,1597229559,浙**********路,0,
119.671158，29.784693,868035047199589,277,5f3721a65bd7ea74ae6616f2,1597229559,浙**********路,0,
119.671158，29.784693,868035047199589,277,5f37232f5bd7ea74b016c6e2,1597229559,浙**********路,0,
119.682533，29.797117,868035047198357,41,5f372f295bd7ea0d8b3a2042,1597230064,浙**************号,0,
119.671158，29.784693,868035047199589,277,5f3731a35bd7ea0d9b1859c2,1597229559,浙**********路,0,
119.689201，29.79508,868035047226074,200,5f3733b45bd7ea16cf39e4c2,1597228089,浙**************号,0,
119.671158，29.784693,868035047199589,277,5f37343f5bd7ea16da107e92,1597229559,浙**********路,0,
119.652237，29.76026,866551032797198,275,5f37349b5bd7ea16c51d1b42,1597227110,浙****************),0,
119.671158，29.784693,868035047199589,277,5f3736475bd7ea16c6053f42,1597229559,浙**********路,0,
119.652237，29.76026,866551032797198,275,5f37390b5bd7ea1f905fc502,1597227110,浙****************),0,
119.652237，29.76026,866551032797198,275,5f3742165bd7ea2ec7511cb2,1597227110,浙****************),0,
119.671158，29.784693,868035047199589,277,5f3745a05bd7ea2ed425e5c2,1597229559,浙**********路,0,
119.702805，29.812,868035047227576,249,5f374b8b5bd7ea3c8c118b42,1597227581,浙**************8,30,
119.652237，29.76026,866551032797198,275,5f374c075bd7ea3c810dc542,1597227110,浙****************),0,
119.671158，29.784693,868035047199589,277,5f374c685bd7ea3c7171b152,1597229559,浙**********路,0,
119.671158，29.784693,868035047199589,277,5f37501a5bd7ea42a83904f2,1597229559,浙**********路,0,
119.671158，29.784693,868035047199589,277,5f37503a5bd7ea42ac13e092,1597229559,浙**********路,0,
